region_id,geo_x,geo_y,area_km2,dfsar_cpr_mean,dfsar_cpr_median,dfsar_cpr_std,dfsar_valid_pct,dfsar_cov_mean,dfsar_valid,dfsar_cpr_class,minirf_s1_log_mean,minirf_s1_log_median,minirf_s1_log_std,minirf_valid_pct,minirf_cov_mean,minirf_valid,radar_flag
15703,-17125.742130750605,-8467.599273607746,0.258125,0.201079,0.193183,0.048916,0.825666,0.825666,True,normal_low,0.049369,0.048804,0.008222,1.0,1.0,True,BOTH
15714,39330.518518518526,-8729.746913580246,0.2025,0.223988,0.21811,0.050381,1.0,1.0,True,normal_low,0.038715,0.0352,0.013473,1.0,1.0,True,BOTH
15739,-43583.46703296703,-8944.005494505494,0.11375,0.184639,0.184079,0.02144,1.0,1.0,True,normal_low,0.00958,0.009558,0.001479,1.0,1.0,True,BOTH
15755,26274.18306010929,-8772.390710382511,2.859375,0.384739,0.36442,0.116729,1.0,1.0,True,normal_low,0.02006,0.015751,0.014569,0.999781,0.999781,True,BOTH
15756,37785.13432835821,-9014.611940298506,0.08375,0.226257,0.215534,0.043063,1.0,1.0,True,normal_low,0.075913,0.069747,0.019026,1.0,1.0,True,BOTH
15777,-16465.777777777777,-9164.430555555557,0.09,0.367226,0.364195,0.067508,1.0,1.0,True,normal_low,0.026259,0.026445,0.002676,1.0,1.0,True,BOTH
15855,29206.763205828785,-9390.938979963576,0.68625,0.269784,0.273532,0.030898,0.008197,0.008197,False,normal_low,0.042898,0.043445,0.028158,1.0,1.0,True,S1_ONLY
15869,38745.88888888889,-9398.805555555557,0.1125,0.206131,0.203687,0.031969,1.0,1.0,True,normal_low,0.066932,0.064741,0.010486,1.0,1.0,True,BOTH
15882,40040.566282420754,-9670.033141210375,0.43375,0.210599,0.207152,0.026495,1.0,1.0,True,normal_low,0.053701,0.051337,0.014023,1.0,1.0,True,BOTH
15922,36554.97445255474,-9652.96715328467,0.085625,0.280029,0.276628,0.047404,1.0,1.0,True,normal_low,0.053012,0.051849,0.008811,1.0,1.0,True,BOTH
