region_id,area_km2,geo_x,geo_y,m3_valid_pct,BD1000,BD2000,OH_SPECTRAL_INDICATOR,ICE_SPECTRAL_INDICATOR,BD1000_norm,BD2000_norm,OH_SPECTRAL_INDICATOR_norm,ICE_SPECTRAL_INDICATOR_norm,n_valid_m3_indices,Science_Score
9481,1.88875,25353.26406353408,10136.858371939115,0.9983,0.436631,1.293131,2.429398,,0.030614,0.183247,0.247471,,3,0.10464
9492,0.356875,25837.503502626976,9750.718914185636,0.7986,,,2.167039,,,,0.220746,,1,0.055186
9495,0.136875,-42465.56849315069,9752.554794520547,1.0,-0.126491,0.057834,0.72655,0.330817,0.0,0.008196,0.07401,0.014902,4,0.025357
9509,0.7375,-10838.953389830507,10083.529661016952,1.0,1.111432,0.733405,,,0.077928,0.103929,,,2,0.036371
9545,0.183125,20072.45221843003,9778.315699658706,1.0,0.367685,0.350576,0.158397,0.054651,0.02578,0.049679,0.016135,0.002462,4,0.019987
9600,1.56,29365.175080128203,9461.788060897436,0.9471,1.160141,,4.271555,,0.081343,,0.435123,,2,0.125049
9611,0.601875,22644.671339563865,9594.606957424716,0.999,-0.171312,0.175342,0.142573,0.09168,0.0,0.024847,0.014523,0.00413,4,0.010046
9639,1.848125,37067.80402434901,9038.021136286778,1.0,-0.268551,-0.128808,0.12918,0.056766,0.0,0.0,0.013159,0.002557,4,0.004185
9661,0.555,-14066.181306306304,9608.917792792796,1.0,0.664519,,,,0.046593,,,,1,0.009319
9682,1.38,24154.41394927536,9864.83423913044,0.976,0.049233,-0.003068,0.172091,-0.118448,0.003452,0.0,0.01753,0.0,4,0.005073
9703,0.953125,-8030.270491803276,9043.614754098358,1.0,0.071571,,0.86,,0.005018,,0.087604,,2,0.022905
9708,0.56125,36019.099109131406,9546.96436525612,1.0,-0.27941,-0.131219,0.257526,0.05179,0.0,0.0,0.026233,0.002333,4,0.007375
9710,0.77375,42163.7972536349,9674.086429725365,1.0,,,2.032617,,,,0.207053,,1,0.051763
9714,0.27,-16611.4375,9661.495370370372,1.0,0.531346,0.415617,0.951317,-0.51286,0.037255,0.058896,0.096906,0.0,4,0.043457
9718,0.17375,19014.24820143885,9548.07194244604,1.0,,0.726431,-0.077764,,,0.102941,0.0,,2,0.020588
9719,0.379375,27503.618616144973,9655.07166392092,1.0,0.595908,,,,0.041782,,,,1,0.008356
9720,0.143125,28157.25109170306,9656.613537117904,1.0,0.17931,-0.024168,1.381417,,0.012572,0.0,0.140718,,3,0.037694
9725,1.334375,-8801.75292740047,9970.019906323185,1.0,-0.066025,0.623776,1.118721,,0.0,0.088394,0.113959,,3,0.046169
9736,0.368125,32270.51018675721,9535.474533106955,1.0,,,1.499181,,,,0.152714,,1,0.038178
