region_id,area_km2,geo_x,geo_y,shadow_fraction,shadow_std,shadow_valid_px
241,0.003125,3399.5,42975.5,0.0,0.0,5.0
242,0.004375,-9857.642857142855,42950.5,0.0,0.0,7.0
243,0.00875,-1625.5,42988.0,0.0,0.0,14.0
244,0.000625,6524.5,42950.5,0.2,,1.0
245,0.00375,9612.0,42942.166666666664,0.3533,0.4221,6.0
246,0.005,10674.5,42963.0,0.0,0.0,8.0
247,0.00625,-12188.0,42895.5,0.0,0.0,10.0
248,0.005,-11013.0,42900.5,0.0,0.0,8.0
249,0.008125,-3679.346153846156,42887.03846153846,1.0,0.0,13.0
250,0.00375,-7879.6666666666715,42871.333333333336,0.7267,0.3436,6.0
251,0.004375,7645.928571428565,42864.78571428572,0.3657,0.3015,7.0
252,0.003125,-6025.5,42850.5,1.0,0.0,5.0
253,0.000625,-725.5,42850.5,0.0,,1.0
254,0.325,12680.028846153844,42787.08653846154,0.0002,0.0035,520.0
255,1.028125,13730.107902735559,42228.87386018237,0.0042,0.0541,1645.0
256,0.7775,13924.781350482313,42995.596463022506,0.3063,0.4332,1121.0
257,0.003125,-5750.5,42825.5,1.0,0.0,5.0
258,0.006875,-6409.5909090909045,42798.22727272727,0.5309,0.385,11.0
259,0.00875,-954.0714285714275,42827.28571428572,0.0,0.0,14.0
260,0.021875,3658.0714285714275,42869.07142857143,0.0571,0.137,35.0
261,0.715625,-9582.268558951968,42767.94541484716,0.3984,0.4724,1145.0
262,0.723125,-1263.2700950734652,43145.44382022472,0.0476,0.1814,1157.0
263,0.00375,4345.3333333333285,42754.666666666664,0.8133,0.2409,6.0
264,0.006875,-9309.590909090904,42714.13636363636,0.6764,0.412,11.0
265,0.00625,-7418.0,42748.0,1.0,0.0,10.0
266,0.00375,-1671.3333333333285,42721.333333333336,0.0,0.0,6.0
267,0.00375,-1421.3333333333285,42729.666666666664,0.0,0.0,6.0
268,0.041875,8055.843283582086,42614.67910447761,0.0,0.0,67.0
269,0.00125,9212.0,42725.5,0.0,0.0,2.0
270,0.18125,11350.879310344826,42607.137931034486,0.0052,0.0575,290.0
271,0.001875,-4758.8333333333285,42692.166666666664,1.0,0.0,3.0
272,0.014375,-203.76086956521613,42666.80434782609,0.0,0.0,23.0
273,0.005,11180.75,42700.5,0.145,0.2787,8.0
274,0.01125,14905.055555555555,42744.944444444445,0.0,0.0,18.0
275,0.045,-10423.069444444445,42754.666666666664,0.6006,0.4344,72.0
276,0.045,-9643.902777777774,42576.194444444445,0.9444,0.1908,72.0
277,2.94875,-7833.813904196693,42480.37494701144,0.7605,0.4042,4718.0
278,0.001875,-8108.8333333333285,42683.833333333336,1.0,0.0,3.0
279,0.02,-11571.59375,42577.0625,0.3988,0.3631,32.0
280,0.005,-11263.0,42663.0,0.39,0.3883,8.0
281,0.004375,-2093.357142857145,42650.5,0.7143,0.3204,7.0
282,0.000625,15774.5,42650.5,,,
283,0.001875,-15017.166666666668,42617.166666666664,0.0,0.0,3.0
284,0.001875,10057.833333333336,42617.166666666664,0.36,0.3124,3.0
285,0.000625,10349.5,42625.5,0.4,,1.0
286,0.00375,12520.333333333336,42621.333333333336,0.2333,0.2911,6.0
287,0.3325,-11018.968045112779,42500.875939849626,0.501,0.4707,532.0
288,0.01625,-8325.5,42605.307692307695,1.0,0.0,26.0
289,0.001875,-7783.8333333333285,42583.833333333336,1.0,0.0,3.0
290,0.000625,1374.5,42575.5,0.0,,1.0
291,0.003125,3099.5,42575.5,0.0,0.0,5.0
292,0.501875,11560.303237858032,42806.78891656289,0.0053,0.0566,803.0
293,0.005625,15132.833333333336,42572.72222222222,0.0,0.0,9.0
294,0.00375,15478.666666666664,42579.666666666664,0.0,0.0,6.0
295,0.00125,-8925.5,42538.0,1.0,0.0,2.0
296,0.006875,-3225.5,42550.5,0.8764,0.2128,11.0
297,0.003125,-2800.5,42525.5,0.4,0.3655,5.0
298,0.339375,8201.940147329653,42644.23848987109,0.0018,0.0342,543.0
299,0.000625,-12375.5,42500.5,0.6,,1.0
300,0.0025,-3913.0,42488.0,1.0,0.0,4.0
301,1.335625,15384.408750584931,42287.15184838559,0.0,0.0,2027.0
302,0.008125,-1644.7307692307659,42477.42307692308,0.12,0.2286,13.0
303,0.003125,12954.499999999993,42465.5,0.0,0.0,5.0
304,0.0075,-13367.166666666668,42448.416666666664,0.3533,0.4125,12.0
