region_id,geo_x,geo_y,area_km2,dist_from_centre_km,slope_mean_deg,slope_std_deg,slope_max_deg,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,shadow_fraction,shadow_std,dfsar_valid_pct,minirf_valid_pct,qualification_status
6906,17325.195732838583,16511.56215213358,0.67375,23.9331,6.4796,3.5727,19.214,5.1321,2.3183,-1990.4132,1.0,0.9305,0.2168,1.0,0.426716,QUALIFIED
6912,9467.357142857143,16386.77819548872,0.083125,18.9249,7.5689,2.9458,14.797,6.4475,1.5041,-1163.1182,1.0,0.8247,0.3113,1.0,0.0,QUALIFIED
6950,-5659.631010145567,16655.67203352448,1.416875,17.5904,5.9254,2.6353,22.0506,4.9014,1.6998,-2045.2659,1.0,0.0558,0.1952,1.0,0.0,QUALIFIED
6951,19189.04183266932,16142.830677290836,0.156875,25.0762,3.8054,1.6831,10.5398,3.1337,0.9537,-2029.745,1.0,0.96,0.1687,1.0,0.498008,QUALIFIED
6976,-2275.304381846632,15943.183881064164,0.399375,16.1042,13.0593,2.6911,22.0035,11.5106,1.636,-1864.778,1.0,0.001,0.0211,1.0,0.0,QUALIFIED
6979,19413.87007874016,16321.562992125986,0.079375,25.3633,2.6737,1.2306,6.5882,2.3225,0.7603,-2019.3833,1.0,0.9332,0.2148,1.0,0.992126,QUALIFIED
6981,30295.220720720725,16232.932432432432,0.208125,34.3704,7.223,3.6569,21.713,6.4685,2.4687,-1431.15,1.0,0.0353,0.1707,1.0,0.0,QUALIFIED
6988,23152.731939163496,16094.036121673002,0.164375,28.1971,3.538,2.7977,14.7645,3.1583,2.0921,-2076.8099,1.0,1.0,0.0,1.0,0.365019,QUALIFIED
7022,20620.54147031103,16309.995758718193,0.663125,26.2912,6.9827,2.465,23.0389,5.9369,1.6123,-2030.9287,1.0,1.0,0.0,1.0,0.952875,QUALIFIED
7023,22026.440639269407,16092.661339421617,0.410625,27.279,4.6162,2.8952,12.5363,3.8456,2.1944,-2077.5067,1.0,0.9959,0.0542,1.0,1.0,QUALIFIED
7024,23693.623931623923,16162.358974358973,0.14625,28.6813,6.4051,2.7158,12.5086,5.1361,1.6284,-2072.1673,1.0,1.0,0.0,1.0,0.0,QUALIFIED
7039,8640.915313225058,15910.302784222738,0.269375,18.1051,5.9919,3.4121,19.5096,5.1,2.1356,-1107.2923,1.0,0.144,0.3136,1.0,0.0,QUALIFIED
7049,-6543.487804878052,16105.27642276423,0.15375,17.3832,4.433,1.7265,8.8613,3.5197,0.8902,-2097.1789,1.0,0.1273,0.2521,1.0,0.0,QUALIFIED
7056,15757.284431137728,15999.452095808383,0.104375,22.4561,6.5914,3.1825,16.0348,5.961,2.3769,-1936.0168,1.0,0.9099,0.2398,1.0,0.0,QUALIFIED
